[
10	 , 51702	 , 116	 , 141	 , 49.99808, 
10	 , 51244	 , 120	 , 136	 , 49.99808, 
10	 , 51456	 , 127	 , 140	 , 49.99808, 
10	 , 51390	 , 126	 , 135	 , 149.70473, 
10	 , 51438	 , 128	 , 139	 , 49.99808, 
10	 , 51526	 , 132	 , 140	 , 49.99808, 
10	 , 51480	 , 97	 , 136	 , 149.70473, 
10	 , 51486	 , 123	 , 138	 , 49.99808, 
10	 , 51524	 , 92	 , 136	 , 49.99808, 
10	 , 51330	 , 137	 , 149	 , 49.99808, 
10	 , 51682	 , 134	 , 139	 , 49.99808, 
10	 , 51572	 , 125	 , 140	 , 49.99808, 
10	 , 51234	 , 129	 , 137	 , 49.99808, 
10	 , 51314	 , 115	 , 133	 , 49.99808, 
10	 , 51290	 , 130	 , 140	 , 49.99808, 
10	 , 51204	 , 118	 , 129	 , 49.99808, 
10	 , 51408	 , 124	 , 139	 , 149.70473, 
10	 , 51222	 , 109	 , 138	 , 149.70473, 
10	 , 51214	 , 120	 , 138	 , 49.99808, 
10	 , 51464	 , 130	 , 135	 , 149.70473, 
10	 , 51536	 , 127	 , 139	 , 49.99808, 
10	 , 51336	 , 127	 , 139	 , 49.99808, 
10	 , 51252	 , 126	 , 138	 , 49.99808, 
10	 , 51502	 , 131	 , 139	 , 49.99808, 
10	 , 51390	 , 110	 , 136	 , 49.99808, 
10	 , 51258	 , 89	 , 139	 , 149.70473, 
10	 , 51238	 , 94	 , 136	 , 49.99808, 
10	 , 51226	 , 133	 , 138	 , 49.99808, 
10	 , 51316	 , 125	 , 137	 , 49.99808, 
10	 , 51452	 , 129	 , 138	 , 49.99808, 
10	 , 51258	 , 128	 , 133	 , 49.99808, 
10	 , 51244	 , 126	 , 141	 , 49.99808, 
10	 , 51474	 , 132	 , 139	 , 49.99808, 
10	 , 51348	 , 132	 , 139	 , 49.99808, 
10	 , 51464	 , 128	 , 141	 , 49.99808, 
10	 , 51200	 , 131	 , 138	 , 49.99808, 
10	 , 51590	 , 133	 , 136	 , 49.99808, 
10	 , 51326	 , 100	 , 139	 , 49.99808, 
10	 , 51566	 , 92	 , 143	 , 149.70473, 
10	 , 51300	 , 67	 , 140	 , 149.70473, 
10	 , 51428	 , 94	 , 139	 , 149.70473, 
10	 , 51522	 , 119	 , 133	 , 49.99808, 
10	 , 51612	 , 120	 , 133	 , 49.99808, 
10	 , 51570	 , 63	 , 142	 , 149.40946, 
10	 , 51534	 , 116	 , 142	 , 149.70473, 
10	 , 51226	 , 119	 , 129	 , 49.99808, 
10	 , 51506	 , 133	 , 137	 , 49.99808, 
10	 , 51570	 , 93	 , 142	 , 49.99039, 
10	 , 51334	 , 132	 , 142	 , 49.99808, 
10	 , 51372	 , 113	 , 140	 , 49.99808, 
10	 , 51578	 , 122	 , 131	 , 49.99808, 
10	 , 51498	 , 120	 , 134	 , 149.70473, 
10	 , 51218	 , 132	 , 137	 , 49.99808, 
10	 , 51406	 , 133	 , 135	 , 149.70473, 
10	 , 51228	 , 128	 , 136	 , 49.99808, 
10	 , 51510	 , 38	 , 135	 , 149.70473, 
10	 , 51516	 , 126	 , 142	 , 49.99808, 
10	 , 51578	 , 117	 , 135	 , 49.99808, 
10	 , 51520	 , 107	 , 139	 , 149.70473, 
10	 , 51662	 , 126	 , 134	 , 49.99808, 
10	 , 51214	 , 122	 , 131	 , 49.99808, 
10	 , 51500	 , 123	 , 141	 , 49.99808, 
10	 , 51328	 , 115	 , 130	 , 49.99808, 
10	 , 51278	 , 135	 , 136	 , 49.99808, 
10	 , 51600	 , 109	 , 143	 , 49.99808, 
10	 , 51578	 , 49	 , 130	 , 149.70473, 
10	 , 51498	 , 121	 , 134	 , 49.99808, 
10	 , 51498	 , 120	 , 143	 , 49.99808, 
10	 , 51266	 , 93	 , 138	 , 49.99808, 
10	 , 51502	 , 135	 , 139	 , 49.99808, 
10	 , 51364	 , 125	 , 137	 , 49.99808, 
10	 , 51308	 , 136	 , 139	 , 49.99808, 
10	 , 51384	 , 113	 , 140	 , 49.99808, 
10	 , 51294	 , 111	 , 137	 , 49.99808, 
10	 , 51396	 , 99	 , 131	 , 49.99808, 
10	 , 51472	 , 118	 , 139	 , 49.99808, 
10	 , 51222	 , 114	 , 141	 , 49.99808, 
10	 , 51324	 , 121	 , 134	 , 49.99808, 
10	 , 51232	 , 118	 , 143	 , 49.99808, 
10	 , 51224	 , 122	 , 144	 , 49.99808, 
10	 , 51464	 , 117	 , 136	 , 49.99808, 
10	 , 51320	 , 101	 , 137	 , 149.70473, 
10	 , 51414	 , 121	 , 147	 , 49.99808, 
10	 , 51208	 , 100	 , 139	 , 49.99808, 
10	 , 51348	 , 131	 , 134	 , 49.99808, 
10	 , 51314	 , 100	 , 141	 , 49.99808, 
10	 , 51228	 , 129	 , 140	 , 49.99808, 
10	 , 51328	 , 96	 , 139	 , 149.70473, 
10	 , 51666	 , 122	 , 142	 , 49.99808, 
10	 , 51504	 , 131	 , 135	 , 49.99808, 
10	 , 51510	 , 123	 , 134	 , 49.99808, 
10	 , 51514	 , 130	 , 138	 , 49.99808, 
10	 , 51388	 , 133	 , 138	 , 49.99808, 
10	 , 51288	 , 103	 , 133	 , 49.99808, 
10	 , 51360	 , 98	 , 133	 , 149.70473, 
10	 , 51202	 , 121	 , 136	 , 49.99808, 
10	 , 51594	 , 114	 , 140	 , 49.99808, 
10	 , 51316	 , 88	 , 133	 , 149.70473, 
10	 , 51462	 , 133	 , 138	 , 49.99808, 
10	 , 51332	 , 125	 , 131	 , 49.99808, 
10	 , 51548	 , 127	 , 138	 , 49.99808, 
10	 , 51404	 , 111	 , 138	 , 49.99808, 
10	 , 51200	 , 97	 , 134	 , 149.70473, 
10	 , 51432	 , 120	 , 142	 , 49.99808, 
10	 , 51226	 , 121	 , 135	 , 49.99808, 
10	 , 51486	 , 132	 , 143	 , 49.99808, 
10	 , 51434	 , 136	 , 147	 , 49.99808, 
10	 , 51410	 , 75	 , 139	 , 149.70473, 
10	 , 51318	 , 130	 , 139	 , 49.99808, 
10	 , 51422	 , 120	 , 129	 , 49.99808, 
10	 , 51480	 , 132	 , 133	 , 49.99808, 
10	 , 51400	 , 85	 , 137	 , 149.70473, 
10	 , 51352	 , 117	 , 140	 , 49.99808, 
10	 , 51490	 , 132	 , 140	 , 49.99808, 
10	 , 51506	 , 120	 , 130	 , 149.70473, 
10	 , 51608	 , 86	 , 136	 , 149.70473, 
10	 , 51558	 , 125	 , 139	 , 49.99808, 
