[
50	 , 950	 , 0	 , 2	 , 1.93767, 
50	 , 950	 , 0	 , 2	 , 1.9322, 
50	 , 950	 , 0	 , 2	 , 1.81698, 
50	 , 950	 , 0	 , 2	 , 1.9489, 
50	 , 950	 , 0	 , 2	 , 1.89162, 
50	 , 950	 , 0	 , 2	 , 1.91963, 
50	 , 950	 , 0	 , 2	 , 1.99351, 
50	 , 950	 , 0	 , 2	 , 1.90524, 
50	 , 984	 , 0	 , 2	 , 1.8856, 
50	 , 950	 , 0	 , 2	 , 1.96591, 
50	 , 950	 , 0	 , 2	 , 1.83537, 
50	 , 950	 , 0	 , 2	 , 1.89917, 
50	 , 950	 , 0	 , 2	 , 1.96782, 
50	 , 950	 , 0	 , 2	 , 1.83806, 
50	 , 950	 , 0	 , 2	 , 1.88159, 
50	 , 950	 , 0	 , 2	 , 1.94931, 
50	 , 950	 , 0	 , 2	 , 1.98962, 
50	 , 950	 , 0	 , 2	 , 1.94606, 
50	 , 950	 , 0	 , 2	 , 1.96924, 
50	 , 950	 , 0	 , 2	 , 1.98694, 
50	 , 950	 , 0	 , 2	 , 1.7539, 
50	 , 950	 , 0	 , 2	 , 1.8417, 
50	 , 950	 , 0	 , 2	 , 1.92023, 
50	 , 950	 , 0	 , 2	 , 1.92354, 
50	 , 950	 , 0	 , 2	 , 1.93092, 
50	 , 950	 , 0	 , 2	 , 1.95813, 
50	 , 950	 , 0	 , 2	 , 1.94023, 
50	 , 950	 , 0	 , 2	 , 1.98503, 
50	 , 950	 , 0	 , 2	 , 1.93156, 
50	 , 950	 , 0	 , 2	 , 1.90204, 
50	 , 950	 , 0	 , 2	 , 1.85849, 
50	 , 950	 , 0	 , 2	 , 1.91495, 
50	 , 950	 , 0	 , 2	 , 1.92268, 
50	 , 950	 , 0	 , 2	 , 1.96797, 
50	 , 950	 , 0	 , 2	 , 1.96312, 
50	 , 950	 , 0	 , 2	 , 1.93706, 
50	 , 950	 , 0	 , 2	 , 1.92488, 
50	 , 950	 , 0	 , 2	 , 1.96178, 
50	 , 950	 , 0	 , 2	 , 1.93591, 
50	 , 950	 , 0	 , 2	 , 1.78331, 
50	 , 950	 , 0	 , 2	 , 1.92035, 
50	 , 950	 , 0	 , 2	 , 1.96475, 
50	 , 950	 , 0	 , 2	 , 1.90947, 
50	 , 950	 , 0	 , 2	 , 1.88632, 
50	 , 950	 , 0	 , 2	 , 1.98193, 
50	 , 950	 , 0	 , 2	 , 1.94728, 
50	 , 950	 , 0	 , 2	 , 1.92723, 
50	 , 950	 , 0	 , 2	 , 1.91684, 
50	 , 950	 , 0	 , 2	 , 1.85864, 
50	 , 950	 , 0	 , 2	 , 1.9301, 
50	 , 950	 , 0	 , 2	 , 1.88634, 
50	 , 950	 , 0	 , 2	 , 1.88284, 
50	 , 950	 , 0	 , 2	 , 1.89685, 
50	 , 950	 , 0	 , 2	 , 1.93408, 
50	 , 950	 , 0	 , 2	 , 1.92459, 
50	 , 950	 , 0	 , 2	 , 1.94804, 
50	 , 950	 , 0	 , 2	 , 1.85986, 
50	 , 950	 , 0	 , 2	 , 1.95927, 
50	 , 950	 , 0	 , 2	 , 1.92932, 
50	 , 950	 , 0	 , 2	 , 1.91804, 
50	 , 950	 , 0	 , 2	 , 1.97775, 
50	 , 950	 , 0	 , 2	 , 1.98605, 
50	 , 950	 , 0	 , 2	 , 1.96988, 
50	 , 950	 , 0	 , 2	 , 1.97403, 
50	 , 950	 , 0	 , 2	 , 1.99385, 
50	 , 950	 , 0	 , 2	 , 1.95346, 
50	 , 950	 , 0	 , 2	 , 1.96944, 
50	 , 950	 , 0	 , 2	 , 1.98595, 
50	 , 950	 , 0	 , 2	 , 1.8652, 
50	 , 950	 , 0	 , 2	 , 1.96918, 
50	 , 950	 , 0	 , 2	 , 1.95126, 
50	 , 950	 , 0	 , 2	 , 1.94823, 
50	 , 950	 , 0	 , 2	 , 1.96867, 
50	 , 950	 , 0	 , 2	 , 1.97957, 
50	 , 950	 , 0	 , 2	 , 1.97095, 
50	 , 950	 , 0	 , 2	 , 1.88341, 
50	 , 950	 , 0	 , 2	 , 1.82107, 
50	 , 950	 , 0	 , 2	 , 1.93802, 
50	 , 950	 , 0	 , 2	 , 1.88417, 
50	 , 950	 , 0	 , 2	 , 1.98378, 
50	 , 950	 , 0	 , 2	 , 1.81576, 
50	 , 950	 , 0	 , 2	 , 1.91312, 
50	 , 950	 , 0	 , 2	 , 1.92155, 
50	 , 950	 , 0	 , 2	 , 1.85203, 
