[
50	 , 52772	 , 17	 , 24	 , 149.99997, 
50	 , 51360	 , 20	 , 24	 , 50.0, 
50	 , 52738	 , 6	 , 25	 , 50.0, 
50	 , 51418	 , 14	 , 24	 , 149.99998, 
50	 , 52986	 , 17	 , 25	 , 149.99998, 
50	 , 52910	 , 16	 , 26	 , 149.99999, 
50	 , 52446	 , 16	 , 25	 , 50.0, 
50	 , 51806	 , 15	 , 25	 , 149.99994, 
50	 , 52978	 , 18	 , 25	 , 50.0, 
50	 , 51556	 , 14	 , 25	 , 150.0, 
50	 , 51550	 , 15	 , 24	 , 50.0, 
50	 , 52084	 , 9	 , 25	 , 149.99998, 
50	 , 53254	 , 16	 , 26	 , 149.99994, 
50	 , 52476	 , 15	 , 25	 , 50.0, 
50	 , 52704	 , 13	 , 25	 , 50.0, 
50	 , 52126	 , 18	 , 25	 , 150.0, 
50	 , 52294	 , 15	 , 25	 , 50.0, 
50	 , 52214	 , 17	 , 25	 , 50.0, 
50	 , 51750	 , 18	 , 24	 , 50.0, 
50	 , 52338	 , 15	 , 25	 , 50.0, 
50	 , 52100	 , 16	 , 25	 , 50.0, 
50	 , 52140	 , 14	 , 25	 , 50.0, 
50	 , 52510	 , 10	 , 25	 , 50.0, 
50	 , 52026	 , 7	 , 25	 , 50.0, 
50	 , 52082	 , 17	 , 25	 , 150.0, 
50	 , 52858	 , 6	 , 25	 , 50.0, 
50	 , 52328	 , 16	 , 25	 , 50.0, 
50	 , 52478	 , 14	 , 24	 , 149.99998, 
50	 , 52788	 , 10	 , 26	 , 149.99997, 
50	 , 53252	 , 12	 , 26	 , 150.0, 
50	 , 52638	 , 18	 , 24	 , 149.99994, 
50	 , 51446	 , 20	 , 25	 , 149.99998, 
50	 , 51490	 , 2	 , 25	 , 149.99998, 
50	 , 52832	 , 17	 , 25	 , 149.99998, 
50	 , 51658	 , 15	 , 25	 , 150.0, 
50	 , 53358	 , 8	 , 25	 , 50.0, 
50	 , 52160	 , 10	 , 26	 , 150.0, 
50	 , 52942	 , 19	 , 25	 , 50.0, 
50	 , 52988	 , 18	 , 25	 , 150.0, 
50	 , 52032	 , 13	 , 25	 , 50.0, 
50	 , 52408	 , 17	 , 25	 , 50.0, 
50	 , 52180	 , 19	 , 25	 , 50.0, 
50	 , 52526	 , 16	 , 25	 , 149.99998, 
50	 , 53400	 , 17	 , 26	 , 149.99998, 
50	 , 52436	 , 4	 , 25	 , 50.0, 
50	 , 52594	 , 17	 , 26	 , 150.0, 
50	 , 52478	 , 13	 , 25	 , 150.0, 
50	 , 52658	 , 15	 , 25	 , 50.0, 
50	 , 52200	 , 12	 , 25	 , 150.0, 
50	 , 52248	 , 20	 , 25	 , 50.0, 
50	 , 52976	 , 10	 , 25	 , 50.0, 
50	 , 51788	 , 19	 , 25	 , 149.99994, 
50	 , 52784	 , 14	 , 25	 , 50.0, 
50	 , 52782	 , 14	 , 25	 , 149.99975, 
50	 , 51360	 , 15	 , 25	 , 149.99998, 
50	 , 52612	 , 15	 , 25	 , 50.0, 
50	 , 53306	 , 15	 , 25	 , 50.0, 
50	 , 52134	 , 1	 , 25	 , 50.0, 
50	 , 52516	 , 19	 , 25	 , 50.0, 
50	 , 52444	 , 13	 , 26	 , 150.0, 
50	 , 52232	 , 20	 , 25	 , 150.0, 
50	 , 52242	 , 9	 , 25	 , 50.0, 
50	 , 52832	 , 12	 , 25	 , 149.99999, 
50	 , 52282	 , 14	 , 25	 , 50.0, 
50	 , 52106	 , 19	 , 25	 , 50.0, 
50	 , 52642	 , 17	 , 25	 , 149.99998, 
50	 , 52106	 , 18	 , 25	 , 50.0, 
50	 , 52026	 , 6	 , 25	 , 50.0, 
50	 , 52410	 , 18	 , 24	 , 50.0, 
50	 , 52404	 , 15	 , 24	 , 50.0, 
50	 , 51548	 , 4	 , 25	 , 149.99999, 
50	 , 51914	 , 1	 , 25	 , 149.99985, 
50	 , 52446	 , 17	 , 25	 , 150.0, 
50	 , 52566	 , 14	 , 25	 , 50.0, 
50	 , 53618	 , 17	 , 26	 , 150.0, 
50	 , 51984	 , 15	 , 25	 , 150.0, 
50	 , 52590	 , 16	 , 25	 , 50.0, 
50	 , 52390	 , 2	 , 25	 , 150.0, 
50	 , 53128	 , 17	 , 25	 , 50.0, 
50	 , 52220	 , 7	 , 25	 , 50.0, 
50	 , 52628	 , 11	 , 25	 , 50.0, 
50	 , 51664	 , 10	 , 24	 , 50.0, 
50	 , 52476	 , 4	 , 25	 , 50.0, 
50	 , 52420	 , 15	 , 24	 , 50.0, 
50	 , 52752	 , 15	 , 24	 , 50.0, 
50	 , 52236	 , 17	 , 24	 , 150.0, 
50	 , 52140	 , 18	 , 25	 , 50.0, 
50	 , 53228	 , 15	 , 26	 , 150.0, 
50	 , 52684	 , 16	 , 25	 , 149.99998, 
50	 , 52636	 , 16	 , 25	 , 50.0, 
50	 , 52738	 , 17	 , 25	 , 50.0, 
50	 , 51252	 , 18	 , 24	 , 149.99999, 
50	 , 52516	 , 0	 , 25	 , 50.0, 
50	 , 51422	 , 15	 , 24	 , 50.0, 
50	 , 52408	 , 17	 , 25	 , 50.0, 
50	 , 52140	 , 16	 , 25	 , 50.0, 
50	 , 52306	 , 0	 , 25	 , 150.0, 
50	 , 52078	 , 0	 , 25	 , 149.99998, 
50	 , 53630	 , 19	 , 26	 , 149.99998, 
50	 , 53002	 , 4	 , 26	 , 150.0, 
50	 , 52714	 , 15	 , 25	 , 150.0, 
50	 , 52556	 , 16	 , 25	 , 50.0, 
50	 , 52082	 , 16	 , 25	 , 149.99998, 
50	 , 52596	 , 15	 , 25	 , 50.0, 
50	 , 52510	 , 15	 , 25	 , 150.0, 
50	 , 52624	 , 10	 , 25	 , 50.0, 
50	 , 52034	 , 17	 , 25	 , 149.99991, 
50	 , 52026	 , 17	 , 25	 , 50.0, 
50	 , 52180	 , 0	 , 25	 , 50.0, 
50	 , 52544	 , 16	 , 25	 , 150.0, 
50	 , 52738	 , 9	 , 25	 , 50.0, 
50	 , 51374	 , 17	 , 24	 , 50.0, 
50	 , 52498	 , 16	 , 25	 , 150.0, 
50	 , 51208	 , 15	 , 24	 , 50.0, 
50	 , 53206	 , 0	 , 26	 , 150.0, 
50	 , 52236	 , 7	 , 25	 , 50.0, 
50	 , 52412	 , 15	 , 25	 , 49.99952, 
50	 , 52458	 , 16	 , 25	 , 150.0, 
50	 , 52100	 , 16	 , 25	 , 50.0, 
50	 , 52348	 , 3	 , 25	 , 150.0, 
50	 , 52242	 , 10	 , 25	 , 50.0, 
50	 , 52738	 , 9	 , 25	 , 50.0, 
50	 , 52720	 , 8	 , 25	 , 50.0, 
