[
50	 , 52386	 , 14	 , 25	 , 150.0, 
50	 , 51920	 , 17	 , 24	 , 149.99999, 
50	 , 52142	 , 0	 , 25	 , 149.99999, 
50	 , 52448	 , 14	 , 25	 , 150.0, 
50	 , 52636	 , 14	 , 25	 , 150.0, 
50	 , 53192	 , 16	 , 24	 , 149.99999, 
50	 , 52316	 , 16	 , 24	 , 150.0, 
50	 , 51560	 , 15	 , 24	 , 150.0, 
50	 , 51552	 , 15	 , 25	 , 150.0, 
50	 , 52790	 , 15	 , 25	 , 149.99999, 
50	 , 52730	 , 14	 , 25	 , 149.99999, 
50	 , 52796	 , 18	 , 25	 , 149.99999, 
50	 , 52900	 , 5	 , 26	 , 150.0, 
50	 , 51870	 , 14	 , 25	 , 150.0, 
50	 , 52462	 , 13	 , 25	 , 150.0, 
50	 , 51352	 , 13	 , 24	 , 149.99999, 
50	 , 51782	 , 15	 , 25	 , 150.0, 
50	 , 51678	 , 17	 , 24	 , 150.0, 
50	 , 51606	 , 14	 , 25	 , 149.99999, 
50	 , 52436	 , 14	 , 25	 , 150.0, 
50	 , 53336	 , 7	 , 25	 , 150.0, 
50	 , 53834	 , 15	 , 25	 , 149.99999, 
50	 , 52982	 , 9	 , 25	 , 150.0, 
50	 , 52906	 , 16	 , 25	 , 150.0, 
50	 , 51352	 , 15	 , 24	 , 150.0, 
50	 , 52874	 , 17	 , 25	 , 149.99999, 
50	 , 51352	 , 6	 , 25	 , 150.0, 
50	 , 53004	 , 14	 , 25	 , 150.0, 
50	 , 52790	 , 8	 , 25	 , 150.0, 
50	 , 52752	 , 16	 , 25	 , 150.0, 
50	 , 53018	 , 11	 , 26	 , 150.0, 
50	 , 52288	 , 0	 , 25	 , 150.0, 
50	 , 52760	 , 20	 , 25	 , 150.0, 
50	 , 51952	 , 17	 , 25	 , 150.0, 
50	 , 52878	 , 10	 , 25	 , 149.99999, 
50	 , 51962	 , 15	 , 26	 , 150.0, 
50	 , 52330	 , 16	 , 25	 , 149.99999, 
50	 , 52568	 , 17	 , 25	 , 150.0, 
50	 , 51648	 , 6	 , 25	 , 150.0, 
50	 , 51614	 , 16	 , 25	 , 149.99999, 
50	 , 51698	 , 13	 , 25	 , 149.99999, 
50	 , 51496	 , 15	 , 25	 , 150.0, 
50	 , 52978	 , 0	 , 25	 , 150.0, 
50	 , 52744	 , 18	 , 25	 , 150.0, 
50	 , 52304	 , 19	 , 25	 , 150.0, 
50	 , 52140	 , 14	 , 25	 , 150.0, 
50	 , 52454	 , 18	 , 25	 , 149.99999, 
50	 , 52702	 , 0	 , 25	 , 150.0, 
50	 , 51938	 , 9	 , 25	 , 150.0, 
50	 , 51626	 , 12	 , 25	 , 150.0, 
50	 , 52928	 , 18	 , 25	 , 149.99999, 
50	 , 53358	 , 18	 , 26	 , 150.0, 
50	 , 53000	 , 18	 , 25	 , 149.99999, 
50	 , 53832	 , 14	 , 24	 , 149.99999, 
50	 , 53246	 , 18	 , 25	 , 150.0, 
50	 , 52414	 , 18	 , 25	 , 150.0, 
50	 , 51438	 , 18	 , 24	 , 149.99999, 
50	 , 51296	 , 15	 , 24	 , 150.0, 
50	 , 52702	 , 17	 , 25	 , 150.0, 
50	 , 53370	 , 16	 , 25	 , 149.99999, 
50	 , 52466	 , 13	 , 25	 , 150.0, 
50	 , 52352	 , 5	 , 25	 , 150.0, 
50	 , 51554	 , 13	 , 25	 , 150.0, 
50	 , 52784	 , 4	 , 25	 , 150.0, 
50	 , 52572	 , 15	 , 25	 , 149.99999, 
50	 , 52988	 , 17	 , 25	 , 150.0, 
50	 , 51678	 , 17	 , 24	 , 150.0, 
50	 , 52276	 , 18	 , 25	 , 149.99999, 
50	 , 52222	 , 14	 , 24	 , 150.0, 
50	 , 51826	 , 17	 , 24	 , 149.99999, 
50	 , 52564	 , 18	 , 25	 , 150.0, 
50	 , 51572	 , 15	 , 24	 , 149.99999, 
50	 , 53440	 , 15	 , 26	 , 149.99999, 
50	 , 52400	 , 17	 , 24	 , 149.99999, 
50	 , 52440	 , 16	 , 25	 , 149.99997, 
50	 , 52626	 , 8	 , 25	 , 150.0, 
50	 , 52374	 , 14	 , 25	 , 149.99998, 
50	 , 53190	 , 13	 , 25	 , 150.0, 
50	 , 53266	 , 15	 , 25	 , 149.99999, 
50	 , 53056	 , 18	 , 24	 , 150.0, 
50	 , 52030	 , 12	 , 25	 , 150.0, 
50	 , 52192	 , 17	 , 25	 , 150.0, 
50	 , 51896	 , 3	 , 24	 , 150.0, 
50	 , 53086	 , 16	 , 25	 , 150.0, 
50	 , 52644	 , 0	 , 25	 , 150.0, 
50	 , 52054	 , 18	 , 25	 , 150.0, 
50	 , 52026	 , 16	 , 25	 , 150.0, 
50	 , 52502	 , 16	 , 25	 , 150.0, 
50	 , 51418	 , 11	 , 24	 , 149.99999, 
50	 , 52142	 , 15	 , 25	 , 150.0, 
50	 , 52940	 , 17	 , 25	 , 150.0, 
50	 , 52062	 , 18	 , 25	 , 149.99999, 
50	 , 52134	 , 17	 , 25	 , 150.0, 
50	 , 51798	 , 3	 , 25	 , 150.0, 
50	 , 51336	 , 17	 , 24	 , 150.0, 
50	 , 51594	 , 16	 , 25	 , 150.0, 
50	 , 52180	 , 0	 , 25	 , 150.0, 
50	 , 53104	 , 15	 , 25	 , 149.99999, 
50	 , 52452	 , 17	 , 25	 , 150.0, 
50	 , 52204	 , 0	 , 25	 , 150.0, 
50	 , 52164	 , 13	 , 25	 , 149.99999, 
50	 , 51916	 , 11	 , 25	 , 150.0, 
50	 , 52692	 , 17	 , 25	 , 150.0, 
50	 , 52194	 , 15	 , 24	 , 149.99999, 
50	 , 53360	 , 15	 , 25	 , 150.0, 
50	 , 52380	 , 18	 , 25	 , 150.0, 
50	 , 52488	 , 15	 , 25	 , 150.0, 
50	 , 52802	 , 12	 , 25	 , 149.99999, 
50	 , 52378	 , 10	 , 25	 , 150.0, 
50	 , 51248	 , 18	 , 24	 , 149.99999, 
50	 , 52232	 , 10	 , 25	 , 150.0, 
50	 , 53274	 , 17	 , 25	 , 150.0, 
50	 , 51220	 , 11	 , 25	 , 149.99999, 
50	 , 51842	 , 15	 , 25	 , 150.0, 
50	 , 52800	 , 0	 , 25	 , 149.99999, 
50	 , 52790	 , 19	 , 26	 , 150.0, 
50	 , 53242	 , 2	 , 25	 , 150.0, 
50	 , 52354	 , 17	 , 25	 , 150.0, 
50	 , 53062	 , 9	 , 25	 , 150.0, 
50	 , 51648	 , 16	 , 24	 , 150.0, 
50	 , 51522	 , 4	 , 24	 , 149.99999, 
50	 , 52780	 , 18	 , 24	 , 149.99999, 
50	 , 52568	 , 5	 , 25	 , 150.0, 
50	 , 51988	 , 17	 , 25	 , 150.0, 
50	 , 52482	 , 15	 , 25	 , 149.99999, 
50	 , 53418	 , 11	 , 25	 , 150.0, 
50	 , 53186	 , 16	 , 25	 , 149.99998, 
50	 , 51298	 , 9	 , 25	 , 150.0, 
50	 , 52954	 , 14	 , 25	 , 149.99999, 
50	 , 53416	 , 18	 , 25	 , -12.50191, 
50	 , 52052	 , 14	 , 25	 , 150.0, 
