[
50	 , 52454	 , 16	 , 28	 , 1.98044, 
50	 , 52674	 , 13	 , 27	 , 1.98877, 
50	 , 53386	 , 21	 , 25	 , 1.93161, 
50	 , 53560	 , 19	 , 26	 , 1.93544, 
50	 , 51542	 , 21	 , 27	 , 1.98206, 
50	 , 52810	 , 6	 , 26	 , 1.99998, 
50	 , 53046	 , 10	 , 27	 , 1.95435, 
50	 , 51796	 , 18	 , 27	 , 1.96854, 
50	 , 53036	 , 0	 , 26	 , 1.98045, 
50	 , 52662	 , 22	 , 26	 , 1.93738, 
50	 , 45070	 , 0	 , 23	 , 2.0, 
50	 , 52502	 , 6	 , 25	 , 1.99803, 
50	 , 53664	 , 7	 , 27	 , 1.98413, 
50	 , 52978	 , 0	 , 28	 , 1.995, 
50	 , 52104	 , 15	 , 25	 , 1.98079, 
50	 , 52372	 , 17	 , 26	 , 1.99974, 
50	 , 52134	 , 12	 , 25	 , 1.99776, 
50	 , 51636	 , 18	 , 26	 , 1.98434, 
50	 , 52682	 , 17	 , 26	 , 1.98764, 
50	 , 51732	 , 9	 , 26	 , 1.98778, 
50	 , 51336	 , 15	 , 27	 , 1.99609, 
50	 , 53450	 , 9	 , 27	 , 1.89062, 
50	 , 51742	 , 21	 , 28	 , 1.97635, 
50	 , 52832	 , 9	 , 27	 , 1.99997, 
50	 , 51724	 , 16	 , 27	 , 1.93353, 
50	 , 52064	 , 20	 , 27	 , 1.87662, 
50	 , 51862	 , 5	 , 27	 , 1.96263, 
50	 , 53016	 , 16	 , 28	 , 1.9917, 
50	 , 53414	 , 7	 , 27	 , 1.92871, 
50	 , 51698	 , 1	 , 25	 , 1.97514, 
50	 , 52074	 , 0	 , 26	 , 1.98961, 
50	 , 52426	 , 16	 , 26	 , 1.99805, 
50	 , 52442	 , 19	 , 28	 , 1.9458, 
50	 , 53258	 , 15	 , 26	 , 1.98561, 
50	 , 52460	 , 17	 , 27	 , 1.97168, 
50	 , 53014	 , 16	 , 27	 , 1.89355, 
50	 , 52472	 , 19	 , 27	 , 1.98215, 
50	 , 51278	 , 21	 , 26	 , 1.98227, 
50	 , 53076	 , 6	 , 28	 , 1.87433, 
50	 , 53062	 , 13	 , 25	 , 1.99109, 
50	 , 51902	 , 4	 , 27	 , 1.92731, 
50	 , 51602	 , 19	 , 24	 , 1.90521, 
50	 , 51488	 , 17	 , 26	 , 1.998, 
50	 , 51826	 , 11	 , 26	 , 1.93147, 
50	 , 52274	 , 15	 , 27	 , 1.99998, 
50	 , 52646	 , 1	 , 27	 , 1.88519, 
50	 , 51944	 , 17	 , 26	 , 1.97644, 
50	 , 53064	 , 17	 , 28	 , 1.99182, 
50	 , 52486	 , 14	 , 27	 , 1.93738, 
50	 , 51478	 , 12	 , 27	 , 1.99994, 
50	 , 52946	 , 15	 , 27	 , 1.9873, 
50	 , 53454	 , 7	 , 27	 , 1.97998, 
50	 , 52076	 , 21	 , 28	 , 1.99506, 
50	 , 51622	 , 5	 , 25	 , 1.86319, 
50	 , 53314	 , 9	 , 26	 , 1.83885, 
50	 , 52258	 , 19	 , 26	 , 1.87427, 
50	 , 53208	 , 22	 , 26	 , 1.95888, 
50	 , 51586	 , 21	 , 26	 , 1.99982, 
50	 , 52022	 , 16	 , 27	 , 1.96385, 
50	 , 52402	 , 20	 , 25	 , 1.97354, 
50	 , 53448	 , 16	 , 26	 , 1.97852, 
50	 , 53270	 , 3	 , 25	 , 1.99188, 
50	 , 52328	 , 16	 , 27	 , 1.99945, 
50	 , 51900	 , 21	 , 26	 , 1.92473, 
50	 , 52510	 , 5	 , 28	 , 1.95068, 
50	 , 53090	 , 8	 , 28	 , 1.96849, 
50	 , 52406	 , 6	 , 27	 , 1.94995, 
50	 , 52056	 , 6	 , 27	 , 1.99988, 
50	 , 51832	 , 3	 , 27	 , 1.99602, 
50	 , 52506	 , 7	 , 26	 , 1.93733, 
50	 , 52412	 , 17	 , 25	 , 1.99559, 
50	 , 51494	 , 10	 , 25	 , 1.97494, 
50	 , 51366	 , 6	 , 27	 , 1.96968, 
50	 , 52104	 , 20	 , 27	 , 1.99866, 
50	 , 53214	 , 19	 , 28	 , 1.87259, 
50	 , 53724	 , 19	 , 26	 , 1.96921, 
50	 , 51482	 , 12	 , 25	 , 1.9928, 
50	 , 52162	 , 22	 , 27	 , 1.99722, 
50	 , 53292	 , 18	 , 25	 , 1.99846, 
50	 , 51356	 , 2	 , 26	 , 1.97748, 
50	 , 53280	 , 21	 , 27	 , 1.9281, 
50	 , 53240	 , 22	 , 27	 , 1.97266, 
50	 , 52302	 , 21	 , 27	 , 1.99191, 
50	 , 52972	 , 20	 , 27	 , 1.99954, 
50	 , 51756	 , 20	 , 26	 , 1.99203, 
50	 , 51990	 , 22	 , 27	 , 1.9982, 
50	 , 49760	 , 0	 , 26	 , 2.0, 
50	 , 51558	 , 18	 , 25	 , 1.99271, 
50	 , 53372	 , 21	 , 24	 , 1.9375, 
50	 , 52284	 , 20	 , 27	 , 1.97855, 
50	 , 52896	 , 9	 , 26	 , 1.99281, 
