[
50	 , 52566	 , 15	 , 24	 , 1.99901, 
50	 , 51724	 , 16	 , 35	 , 1.99872, 
50	 , 51800	 , 5	 , 24	 , 1.98437, 
50	 , 53342	 , 18	 , 25	 , 1.99988, 
50	 , 46924	 , 0	 , 23	 , 2.0, 
50	 , 53036	 , 0	 , 27	 , 1.99985, 
50	 , 51882	 , 14	 , 25	 , 1.99902, 
50	 , 53430	 , 17	 , 25	 , 1.99803, 
50	 , 52010	 , 11	 , 26	 , 1.98175, 
50	 , 51964	 , 14	 , 25	 , 1.99023, 
50	 , 52586	 , 4	 , 26	 , 1.9668, 
50	 , 52764	 , 1	 , 26	 , 1.96872, 
50	 , 52206	 , 0	 , 25	 , 1.99986, 
50	 , 52344	 , 4	 , 26	 , 1.99626, 
50	 , 51742	 , 14	 , 25	 , 1.99036, 
50	 , 51814	 , 6	 , 25	 , 1.99901, 
50	 , 52086	 , 15	 , 25	 , 1.99902, 
50	 , 51730	 , 4	 , 26	 , 1.99939, 
50	 , 52340	 , 17	 , 25	 , 1.99205, 
50	 , 40174	 , 0	 , 20	 , 2.0, 
50	 , 52260	 , 11	 , 25	 , 1.99976, 
50	 , 44042	 , 0	 , 23	 , 2.0, 
50	 , 52796	 , 4	 , 27	 , 1.97656, 
50	 , 53234	 , 6	 , 26	 , 1.99707, 
50	 , 53220	 , 19	 , 26	 , 1.99792, 
50	 , 51822	 , 7	 , 26	 , 1.98239, 
50	 , 40770	 , 0	 , 20	 , 2.0, 
50	 , 51220	 , 5	 , 25	 , 1.99194, 
50	 , 52376	 , 20	 , 25	 , 1.98291, 
50	 , 52784	 , 6	 , 26	 , 1.92969, 
50	 , 52842	 , 15	 , 26	 , 1.96716, 
50	 , 51772	 , 10	 , 24	 , 1.98436, 
50	 , 52264	 , 13	 , 26	 , 1.99205, 
50	 , 52938	 , 3	 , 26	 , 1.99939, 
50	 , 52732	 , 22	 , 26	 , 1.99878, 
50	 , 51268	 , 22	 , 31	 , 1.99976, 
50	 , 52770	 , 2	 , 25	 , 1.875, 
50	 , 53256	 , 10	 , 25	 , 1.99487, 
50	 , 51888	 , 2	 , 26	 , 1.99463, 
50	 , 51784	 , 4	 , 25	 , 1.99606, 
