[
50	 , 52780	 , 17	 , 25	 , 0.0, 
50	 , 52312	 , 2	 , 26	 , -0.00179, 
50	 , 52104	 , 15	 , 26	 , -0.00321, 
50	 , 53206	 , 15	 , 26	 , -0.04683, 
50	 , 53096	 , 6	 , 26	 , 0.0, 
50	 , 52736	 , 7	 , 26	 , 0.0, 
50	 , 52518	 , 15	 , 26	 , -0.03458, 
50	 , 51712	 , 0	 , 27	 , -4.3E-4, 
50	 , 51280	 , 16	 , 27	 , -0.00281, 
50	 , 52596	 , 3	 , 26	 , -0.08821, 
50	 , 52762	 , 6	 , 28	 , 0.0, 
50	 , 51754	 , 13	 , 27	 , -0.00166, 
50	 , 52762	 , 3	 , 24	 , -0.00225, 
50	 , 51390	 , 12	 , 26	 , -0.01982, 
50	 , 53182	 , 2	 , 28	 , -0.00333, 
50	 , 52108	 , 7	 , 27	 , -0.17385, 
50	 , 54306	 , 17	 , 27	 , -0.0041, 
50	 , 52954	 , 10	 , 27	 , -0.00106, 
50	 , 51468	 , 2	 , 26	 , -1.0E-5, 
50	 , 52716	 , 7	 , 28	 , -0.03664, 
50	 , 52518	 , 16	 , 26	 , -2.2E-4, 
50	 , 53122	 , 17	 , 27	 , -6.8E-4, 
50	 , 52016	 , 2	 , 27	 , -0.0018, 
50	 , 51468	 , 4	 , 27	 , -0.00424, 
50	 , 51876	 , 3	 , 27	 , 0.0, 
50	 , 52216	 , 12	 , 26	 , -0.04003, 
50	 , 54094	 , 9	 , 26	 , 0.0, 
50	 , 51680	 , 8	 , 27	 , -0.00436, 
50	 , 52892	 , 5	 , 27	 , -0.00243, 
50	 , 52406	 , 20	 , 26	 , -0.00564, 
50	 , 51242	 , 12	 , 25	 , 0.0, 
50	 , 53402	 , 7	 , 28	 , -0.00197, 
50	 , 52984	 , 3	 , 27	 , -0.00244, 
50	 , 51794	 , 2	 , 27	 , -1.0E-5, 
50	 , 53398	 , 16	 , 25	 , -2.0E-5, 
50	 , 52388	 , 16	 , 27	 , -0.1152, 
50	 , 51702	 , 8	 , 26	 , -3.0E-5, 
50	 , 52098	 , 8	 , 27	 , -0.01963, 
50	 , 51330	 , 3	 , 27	 , -2.0E-5, 
50	 , 51846	 , 16	 , 26	 , -0.00175, 
50	 , 51530	 , 9	 , 27	 , -0.08764, 
50	 , 51828	 , 0	 , 27	 , -0.0581, 
50	 , 52154	 , 9	 , 27	 , -3.0E-5, 
50	 , 51824	 , 3	 , 27	 , -1.6E-4, 
50	 , 53486	 , 16	 , 26	 , -0.00182, 
50	 , 51338	 , 14	 , 26	 , -0.01773, 
50	 , 51632	 , 14	 , 25	 , -0.01758, 
50	 , 53358	 , 11	 , 27	 , 0.0, 
50	 , 53108	 , 3	 , 27	 , -0.00491, 
50	 , 51722	 , 14	 , 26	 , -0.00451, 
