[
50	 , 52746	 , 15	 , 25	 , 149.99999, 
50	 , 52708	 , 14	 , 26	 , 50.0, 
50	 , 52792	 , 15	 , 25	 , 50.0, 
50	 , 51624	 , 10	 , 25	 , 150.0, 
50	 , 52716	 , 18	 , 26	 , 149.99999, 
50	 , 53508	 , 14	 , 23	 , 50.0, 
50	 , 52324	 , 16	 , 26	 , 150.0, 
50	 , 52946	 , 0	 , 26	 , 149.99996, 
50	 , 52632	 , 18	 , 25	 , 50.0, 
50	 , 52140	 , 14	 , 25	 , 149.99998, 
50	 , 52612	 , 1	 , 26	 , 50.0, 
50	 , 51532	 , 13	 , 25	 , 149.99996, 
50	 , 52246	 , 14	 , 26	 , 149.99999, 
50	 , 53006	 , 10	 , 26	 , 50.0, 
50	 , 51750	 , 5	 , 24	 , 50.0, 
50	 , 52460	 , 12	 , 25	 , 50.0, 
50	 , 53082	 , 9	 , 26	 , 149.99996, 
50	 , 51400	 , 12	 , 25	 , 50.0, 
50	 , 52564	 , 16	 , 27	 , 149.99992, 
50	 , 51240	 , 15	 , 25	 , 50.0, 
50	 , 51430	 , 16	 , 24	 , 149.99996, 
50	 , 52820	 , 11	 , 25	 , 50.0, 
50	 , 52928	 , 14	 , 26	 , 149.99996, 
50	 , 53140	 , 19	 , 25	 , 50.0, 
50	 , 52218	 , 15	 , 26	 , 149.99996, 
50	 , 51560	 , 14	 , 25	 , 150.0, 
50	 , 51740	 , 15	 , 25	 , 149.99994, 
50	 , 51868	 , 11	 , 24	 , 149.99996, 
50	 , 52146	 , 16	 , 24	 , 50.0, 
50	 , 53342	 , 9	 , 25	 , 150.0, 
50	 , 53348	 , 5	 , 26	 , 50.0, 
50	 , 52154	 , 16	 , 25	 , 50.0, 
50	 , 52982	 , 16	 , 26	 , 149.99996, 
50	 , 52136	 , 16	 , 25	 , 50.0, 
50	 , 53368	 , 15	 , 26	 , 150.0, 
50	 , 53042	 , 17	 , 26	 , 50.0, 
50	 , 51418	 , 16	 , 26	 , 50.0, 
50	 , 51314	 , 18	 , 24	 , 50.0, 
50	 , 53114	 , 17	 , 25	 , 150.0, 
50	 , 53300	 , 10	 , 27	 , 149.99998, 
50	 , 51468	 , 14	 , 24	 , 50.0, 
50	 , 52602	 , 15	 , 26	 , 50.0, 
50	 , 52186	 , 14	 , 25	 , 50.0, 
50	 , 52514	 , 16	 , 25	 , 50.0, 
50	 , 53072	 , 14	 , 25	 , 150.0, 
50	 , 53308	 , 17	 , 26	 , 149.99996, 
50	 , 51588	 , 15	 , 24	 , 50.0, 
50	 , 51934	 , 12	 , 25	 , 50.0, 
50	 , 52842	 , 17	 , 25	 , 149.99996, 
50	 , 52310	 , 17	 , 25	 , 50.0, 
50	 , 52768	 , 15	 , 25	 , 50.0, 
50	 , 53024	 , 14	 , 26	 , 50.0, 
50	 , 52554	 , 9	 , 26	 , 50.0, 
50	 , 51710	 , 6	 , 24	 , 50.0, 
50	 , 52574	 , 9	 , 26	 , 50.0, 
50	 , 51368	 , 11	 , 25	 , 149.99996, 
50	 , 52756	 , 13	 , 26	 , 150.0, 
50	 , 53144	 , 18	 , 25	 , 50.0, 
50	 , 53432	 , 12	 , 24	 , 50.0, 
50	 , 51326	 , 12	 , 24	 , 50.0, 
50	 , 51464	 , 13	 , 25	 , 149.99996, 
50	 , 51642	 , 13	 , 24	 , 50.0, 
50	 , 53148	 , 12	 , 26	 , 149.99996, 
50	 , 51702	 , 13	 , 25	 , 50.0, 
50	 , 52738	 , 16	 , 25	 , 50.0, 
50	 , 52802	 , 15	 , 26	 , 150.0, 
50	 , 52562	 , 18	 , 24	 , 150.0, 
50	 , 51534	 , 14	 , 25	 , 50.0, 
50	 , 53188	 , 16	 , 26	 , 149.99989, 
50	 , 53360	 , 16	 , 26	 , 150.0, 
50	 , 51870	 , 13	 , 25	 , 149.99996, 
50	 , 52994	 , 14	 , 26	 , 50.0, 
50	 , 51672	 , 18	 , 25	 , 150.0, 
50	 , 51434	 , 15	 , 25	 , 50.0, 
50	 , 53022	 , 16	 , 25	 , 150.0, 
50	 , 52972	 , 9	 , 26	 , 149.99994, 
50	 , 51404	 , 15	 , 25	 , 149.99996, 
50	 , 51510	 , 14	 , 25	 , 150.0, 
50	 , 52318	 , 17	 , 25	 , 50.0, 
50	 , 52288	 , 16	 , 26	 , 50.0, 
50	 , 52146	 , 15	 , 25	 , 150.0, 
50	 , 53066	 , 13	 , 26	 , 50.0, 
50	 , 52448	 , 1	 , 26	 , 50.0, 
50	 , 51558	 , 17	 , 25	 , 50.0, 
50	 , 53144	 , 14	 , 26	 , 50.0, 
50	 , 51498	 , 15	 , 25	 , 149.99996, 
50	 , 53116	 , 18	 , 25	 , 50.0, 
50	 , 51396	 , 18	 , 24	 , 50.0, 
50	 , 52776	 , 17	 , 26	 , 50.0, 
50	 , 52112	 , 15	 , 25	 , 50.0, 
50	 , 51760	 , 11	 , 25	 , 150.0, 
50	 , 53020	 , 3	 , 25	 , 149.99998, 
50	 , 51506	 , 5	 , 25	 , 50.0, 
50	 , 51694	 , 17	 , 25	 , 150.0, 
50	 , 53358	 , 12	 , 27	 , 50.0, 
50	 , 53748	 , 8	 , 26	 , 50.0, 
50	 , 53496	 , 11	 , 26	 , 150.0, 
50	 , 51908	 , 13	 , 26	 , 150.0, 
