[
50	 , 51716	 , 17	 , 25	 , 149.99999, 
50	 , 52692	 , 20	 , 25	 , 150.0, 
50	 , 52894	 , 19	 , 26	 , 150.0, 
50	 , 52716	 , 13	 , 25	 , 150.0, 
50	 , 52434	 , 10	 , 26	 , 150.0, 
50	 , 51404	 , 17	 , 25	 , 150.0, 
50	 , 52072	 , 12	 , 25	 , 150.0, 
50	 , 53250	 , 17	 , 26	 , 149.99999, 
50	 , 52816	 , 16	 , 24	 , 149.99999, 
50	 , 52920	 , 12	 , 26	 , 150.0, 
50	 , 51276	 , 16	 , 25	 , 149.99999, 
50	 , 51326	 , 15	 , 24	 , 150.0, 
50	 , 52332	 , 17	 , 25	 , 150.0, 
50	 , 51244	 , 0	 , 25	 , 149.99997, 
50	 , 51712	 , 3	 , 26	 , 150.0, 
50	 , 52048	 , 17	 , 24	 , 150.0, 
50	 , 52924	 , 6	 , 26	 , 150.0, 
50	 , 53172	 , 11	 , 26	 , 149.99999, 
50	 , 52950	 , 10	 , 25	 , 150.0, 
50	 , 52536	 , 12	 , 25	 , 150.0, 
50	 , 52736	 , 14	 , 25	 , 150.0, 
50	 , 53064	 , 12	 , 25	 , 150.0, 
50	 , 51266	 , 15	 , 24	 , 150.0, 
50	 , 52688	 , 7	 , 26	 , 150.0, 
50	 , 52622	 , 7	 , 26	 , 150.0, 
50	 , 51736	 , 15	 , 25	 , 150.0, 
50	 , 52412	 , 11	 , 26	 , 150.0, 
50	 , 51782	 , 10	 , 25	 , 149.99999, 
50	 , 52084	 , 12	 , 24	 , 150.0, 
50	 , 51864	 , 12	 , 26	 , 150.0, 
50	 , 52970	 , 16	 , 25	 , 149.99999, 
50	 , 51880	 , 15	 , 25	 , 149.99999, 
50	 , 52526	 , 7	 , 26	 , 149.99997, 
50	 , 52136	 , 16	 , 25	 , 150.0, 
50	 , 52416	 , 1	 , 26	 , 149.99999, 
50	 , 52164	 , 12	 , 25	 , 150.0, 
50	 , 52730	 , 7	 , 25	 , 149.99999, 
50	 , 52368	 , 15	 , 24	 , 150.0, 
50	 , 53080	 , 7	 , 25	 , 149.99999, 
50	 , 53046	 , 9	 , 27	 , 149.99999, 
50	 , 51378	 , 13	 , 25	 , 149.99999, 
50	 , 53694	 , 16	 , 25	 , 150.0, 
50	 , 52962	 , 16	 , 24	 , 150.0, 
50	 , 52522	 , 18	 , 25	 , 150.0, 
50	 , 52226	 , 11	 , 26	 , 150.0, 
50	 , 51424	 , 19	 , 25	 , 150.0, 
50	 , 51848	 , 9	 , 25	 , 150.0, 
50	 , 51850	 , 10	 , 26	 , 150.0, 
50	 , 51822	 , 15	 , 24	 , 150.0, 
50	 , 51826	 , 13	 , 25	 , 149.99999, 
50	 , 52044	 , 1	 , 25	 , 149.99999, 
50	 , 52542	 , 15	 , 25	 , 150.0, 
50	 , 53350	 , 8	 , 27	 , 150.0, 
50	 , 53580	 , 14	 , 27	 , 150.0, 
50	 , 51556	 , 13	 , 25	 , 150.0, 
50	 , 53442	 , 17	 , 26	 , 150.0, 
50	 , 51564	 , 13	 , 24	 , 149.99999, 
50	 , 52006	 , 13	 , 25	 , 150.0, 
50	 , 52524	 , 0	 , 25	 , 150.0, 
50	 , 52990	 , 17	 , 26	 , 150.0, 
50	 , 52602	 , 17	 , 25	 , 149.99999, 
50	 , 51236	 , 5	 , 25	 , 149.99999, 
50	 , 53744	 , 4	 , 26	 , 150.0, 
50	 , 51998	 , 10	 , 25	 , 149.99999, 
50	 , 53268	 , 4	 , 25	 , 150.0, 
50	 , 51976	 , 16	 , 24	 , 150.0, 
50	 , 51654	 , 15	 , 25	 , 149.99999, 
50	 , 52796	 , 13	 , 26	 , 150.0, 
50	 , 52258	 , 12	 , 26	 , 149.99999, 
50	 , 51684	 , 15	 , 25	 , 150.0, 
50	 , 52154	 , 15	 , 25	 , 149.99999, 
50	 , 51842	 , 13	 , 25	 , 150.0, 
50	 , 52392	 , 10	 , 26	 , 149.99999, 
50	 , 52682	 , 18	 , 26	 , 149.99999, 
50	 , 51918	 , 15	 , 24	 , 150.0, 
50	 , 53164	 , 9	 , 25	 , 150.0, 
50	 , 52530	 , 7	 , 25	 , 149.99997, 
50	 , 53214	 , 16	 , 26	 , 149.99999, 
50	 , 52696	 , 16	 , 25	 , 149.99999, 
50	 , 52296	 , 11	 , 24	 , 150.0, 
50	 , 51298	 , 13	 , 25	 , 149.99999, 
50	 , 53368	 , 18	 , 26	 , 150.0, 
50	 , 53042	 , 16	 , 25	 , 150.0, 
50	 , 52006	 , 13	 , 25	 , 150.0, 
50	 , 52858	 , 18	 , 25	 , 150.0, 
50	 , 52294	 , 9	 , 26	 , 149.99994, 
50	 , 51792	 , 11	 , 25	 , 150.0, 
50	 , 51394	 , 16	 , 25	 , 150.0, 
50	 , 53116	 , 20	 , 25	 , 150.0, 
50	 , 52478	 , 11	 , 26	 , 149.99997, 
50	 , 51832	 , 14	 , 25	 , 150.0, 
50	 , 53304	 , 3	 , 26	 , 150.0, 
50	 , 52898	 , 17	 , 25	 , 150.0, 
50	 , 52456	 , 1	 , 27	 , 150.0, 
50	 , 52970	 , 18	 , 25	 , 149.9999, 
50	 , 51202	 , 13	 , 25	 , 150.0, 
50	 , 51608	 , 12	 , 25	 , 150.0, 
50	 , 53278	 , 11	 , 26	 , 150.0, 
50	 , 52552	 , 14	 , 26	 , 150.0, 
50	 , 52550	 , 15	 , 25	 , 150.0, 
50	 , 52906	 , 20	 , 25	 , 150.0, 
50	 , 52058	 , 16	 , 25	 , 149.99999, 
50	 , 52054	 , 19	 , 26	 , 149.99999, 
