[
50	 , 52672	 , 14	 , 25	 , -0.05143, 
50	 , 52206	 , 11	 , 27	 , -0.10493, 
50	 , 53412	 , 8	 , 27	 , -0.00441, 
50	 , 51988	 , 15	 , 26	 , -0.03506, 
50	 , 53422	 , 19	 , 26	 , -0.00209, 
50	 , 51704	 , 10	 , 25	 , -0.056, 
50	 , 53228	 , 10	 , 26	 , -0.06215, 
50	 , 52564	 , 13	 , 25	 , -0.03681, 
50	 , 53708	 , 13	 , 27	 , -2.8E-4, 
50	 , 51534	 , 10	 , 25	 , -0.12171, 
50	 , 52764	 , 12	 , 25	 , -5.5E-4, 
50	 , 52346	 , 15	 , 24	 , -0.00103, 
50	 , 52062	 , 11	 , 25	 , -0.06496, 
50	 , 52582	 , 17	 , 26	 , -0.00125, 
50	 , 52146	 , 13	 , 26	 , -0.03162, 
50	 , 51570	 , 15	 , 23	 , 0.0, 
50	 , 53772	 , 12	 , 26	 , -0.0021, 
50	 , 53086	 , 22	 , 27	 , -0.26061, 
50	 , 52796	 , 9	 , 28	 , -0.23191, 
50	 , 53058	 , 17	 , 25	 , -0.00396, 
50	 , 53044	 , 16	 , 26	 , -0.10487, 
50	 , 51292	 , 19	 , 26	 , -5.0E-5, 
50	 , 53250	 , 8	 , 27	 , -0.0152, 
50	 , 51768	 , 1	 , 27	 , -0.02002, 
50	 , 51364	 , 16	 , 25	 , -0.03371, 
50	 , 53262	 , 9	 , 27	 , -0.01233, 
50	 , 53242	 , 10	 , 26	 , -0.00345, 
50	 , 53666	 , 13	 , 25	 , -0.03483, 
50	 , 52274	 , 13	 , 25	 , -2.4E-4, 
50	 , 51726	 , 15	 , 26	 , -0.08784, 
50	 , 52278	 , 4	 , 26	 , -7.0E-5, 
50	 , 52128	 , 18	 , 25	 , -0.40087, 
50	 , 52362	 , 10	 , 26	 , -4.0E-5, 
50	 , 52530	 , 6	 , 25	 , -0.00875, 
50	 , 51204	 , 8	 , 26	 , -0.00596, 
50	 , 52644	 , 15	 , 24	 , -0.01151, 
50	 , 53434	 , 16	 , 25	 , -0.03759, 
50	 , 51944	 , 14	 , 25	 , -8.7E-4, 
50	 , 51296	 , 15	 , 25	 , -0.01024, 
50	 , 52572	 , 12	 , 25	 , -0.05891, 
50	 , 52348	 , 20	 , 26	 , -0.04137, 
50	 , 52686	 , 0	 , 27	 , -0.12209, 
50	 , 52570	 , 6	 , 25	 , -0.00611, 
50	 , 52122	 , 5	 , 27	 , -0.04964, 
50	 , 52604	 , 0	 , 28	 , -0.15421, 
50	 , 51752	 , 5	 , 26	 , -0.13548, 
50	 , 51276	 , 16	 , 25	 , -0.0461, 
50	 , 53260	 , 11	 , 27	 , -0.0124, 
50	 , 51784	 , 7	 , 26	 , -0.10063, 
50	 , 52710	 , 2	 , 28	 , -0.05824, 
50	 , 52184	 , 7	 , 26	 , -0.09525, 
50	 , 51760	 , 14	 , 23	 , -0.10358, 
50	 , 52074	 , 14	 , 26	 , -0.0195, 
50	 , 53634	 , 16	 , 26	 , -2.4E-4, 
50	 , 51872	 , 13	 , 25	 , -1.6E-4, 
