[
2	 , 51210	 , 424	 , 713	 , 149.99999105903044, 
2	 , 51210	 , 514	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 531	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 479	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 364	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 520	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 74	 , 713	 , 49.99999973805753, 
2	 , 51210	 , 578	 , 713	 , 49.99999973805753, 
2	 , 51210	 , 469	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 629	 , 713	 , 49.99999994179056, 
2	 , 51210	 , 492	 , 713	 , 149.99995976563693, 
2	 , 51210	 , 352	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 645	 , 713	 , 149.99995976563693, 
2	 , 51210	 , 577	 , 713	 , 49.99999973805753, 
2	 , 51210	 , 456	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 406	 , 713	 , 49.99999973805753, 
2	 , 51210	 , 481	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 612	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 463	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 11	 , 713	 , 40.24313499870418, 
2	 , 51210	 , 505	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 483	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 509	 , 713	 , 49.99999994179056, 
2	 , 51210	 , 458	 , 713	 , 49.99999994179056, 
2	 , 51210	 , 551	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 531	 , 713	 , 49.99999994179056, 
2	 , 51210	 , 84	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 333	 , 713	 , 49.99999973805753, 
2	 , 51210	 , 283	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 316	 , 713	 , 49.99999973805753, 
2	 , 51210	 , 295	 , 713	 , 49.99999973805753, 
2	 , 51210	 , 506	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 625	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 478	 , 713	 , 49.99999973805753, 
2	 , 51210	 , 473	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 249	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 379	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 435	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 475	 , 713	 , 49.99999973805753, 
2	 , 51210	 , 508	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 497	 , 713	 , 49.99999994179056, 
2	 , 51210	 , 389	 , 713	 , 149.99999552951522, 
2	 , 51210	 , 571	 , 713	 , 49.99999973805753, 
2	 , 51210	 , 539	 , 713	 , 149.99999552951522, 
2	 , 51210	 , 300	 , 713	 , 49.99999994179056, 
2	 , 51210	 , 63	 , 713	 , 49.99999973805753, 
2	 , 51210	 , 388	 , 713	 , 149.99999552951522, 
2	 , 51210	 , 696	 , 713	 , 71.83215638216807, 
2	 , 51210	 , 430	 , 713	 , 49.99999973805753, 
2	 , 51210	 , 499	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 442	 , 713	 , 49.99999994179056, 
2	 , 51210	 , 309	 , 713	 , 49.99999973805753, 
2	 , 51210	 , 220	 , 713	 , 49.99999994179056, 
2	 , 51210	 , 277	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 416	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 265	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 604	 , 713	 , 149.99999552951522, 
2	 , 51210	 , 453	 , 713	 , 49.99999994179056, 
2	 , 51210	 , 545	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 623	 , 713	 , 149.99995976563693, 
2	 , 51210	 , 657	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 565	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 545	 , 713	 , 49.99999973805753, 
2	 , 51210	 , 555	 , 713	 , 149.99999552951522, 
2	 , 51210	 , 619	 , 713	 , 49.99999973805753, 
2	 , 51210	 , 554	 , 713	 , 149.99999552951522, 
2	 , 51210	 , 506	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 651	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 383	 , 713	 , 49.99999973805753, 
2	 , 51210	 , 496	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 372	 , 713	 , 49.99999973805753, 
2	 , 51210	 , 63	 , 713	 , 49.99999973805753, 
2	 , 51210	 , 603	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 533	 , 713	 , 49.99999994179056, 
2	 , 51210	 , 479	 , 713	 , 49.99999994179056, 
2	 , 51210	 , 549	 , 713	 , 149.99995976563693, 
2	 , 51210	 , 499	 , 713	 , 49.99999994179056, 
2	 , 51210	 , 574	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 533	 , 713	 , 49.99999973805753, 
2	 , 51210	 , 453	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 427	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 436	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 436	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 419	 , 713	 , 49.99999994179056, 
2	 , 51210	 , 466	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 249	 , 713	 , 49.99999994179056, 
2	 , 51210	 , 570	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 349	 , 713	 , 49.99999994179056, 
2	 , 51210	 , 437	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 361	 , 713	 , 49.99999994179056, 
2	 , 51210	 , 560	 , 713	 , 49.99999994179056, 
2	 , 51210	 , 64	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 281	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 568	 , 713	 , 49.99999973805753, 
2	 , 51210	 , 481	 , 713	 , 49.99999973805753, 
2	 , 51210	 , 487	 , 713	 , 49.99999994179056, 
2	 , 51210	 , 494	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 442	 , 713	 , 149.99999552951522, 
2	 , 51210	 , 487	 , 713	 , 149.99999552951522, 
2	 , 51210	 , 402	 , 713	 , 49.99992429862677, 
2	 , 51210	 , 368	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 594	 , 713	 , 149.99995976563693, 
2	 , 51210	 , 454	 , 713	 , 49.99999857386879, 
2	 , 51210	 , 505	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 397	 , 713	 , 49.99999973805753, 
2	 , 51210	 , 460	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 391	 , 713	 , 49.99999973805753, 
2	 , 51210	 , 469	 , 713	 , 49.99999994179056, 
2	 , 51210	 , 655	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 363	 , 713	 , 49.99999973805753, 
2	 , 51210	 , 617	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 543	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 430	 , 713	 , 49.99999994179056, 
2	 , 51210	 , 512	 , 713	 , 49.99999973805753, 
2	 , 51210	 , 548	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 353	 , 713	 , 49.99999994179056, 
2	 , 51210	 , 286	 , 713	 , 49.99999973805753, 
2	 , 51210	 , 590	 , 713	 , 49.99999973805753, 
2	 , 51210	 , 366	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 441	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 510	 , 713	 , 149.99999552951522, 
2	 , 51210	 , 554	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 362	 , 713	 , 49.99999994179056, 
2	 , 51210	 , 558	 , 713	 , 149.99995976563693, 
2	 , 51210	 , 549	 , 713	 , 49.99999973805753, 
2	 , 51210	 , 390	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 637	 , 713	 , 49.99999973805753, 
2	 , 51210	 , 575	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 457	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 531	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 524	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 602	 , 713	 , 49.99999973805753, 
2	 , 51210	 , 369	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 626	 , 713	 , 49.99999994179056, 
2	 , 51210	 , 252	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 585	 , 713	 , 49.99999973805753, 
2	 , 51210	 , 448	 , 713	 , 49.99999973805753, 
2	 , 51210	 , 593	 , 713	 , 49.99999994179056, 
2	 , 51210	 , 489	 , 713	 , 149.99999105903044, 
2	 , 51210	 , 603	 , 713	 , 49.99999973805753, 
2	 , 51210	 , 505	 , 713	 , 149.99999552951522, 
2	 , 51210	 , 652	 , 713	 , 149.99995976563693, 
2	 , 51210	 , 351	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 662	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 117	 , 713	 , 149.99999552951522, 
2	 , 51210	 , 292	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 437	 , 713	 , 49.99999973805753, 
2	 , 51210	 , 306	 , 713	 , 49.99999994179056, 
2	 , 51210	 , 447	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 593	 , 713	 , 49.99999994179056, 
2	 , 51210	 , 452	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 468	 , 713	 , 49.99999973805753, 
2	 , 51210	 , 329	 , 713	 , 49.99999994179056, 
2	 , 51210	 , 480	 , 713	 , 49.99999994179056, 
2	 , 51210	 , 499	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 408	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 637	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 411	 , 713	 , 49.99999994179056, 
2	 , 51210	 , 334	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 512	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 515	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 511	 , 713	 , 49.99999973805753, 
2	 , 51210	 , 558	 , 713	 , 49.99999973805753, 
2	 , 51210	 , 446	 , 713	 , 149.99995976563693, 
2	 , 51210	 , 399	 , 713	 , 49.99999994179056, 
2	 , 51210	 , 513	 , 713	 , 149.99999552951522, 
2	 , 51210	 , 240	 , 713	 , 49.99999994179056, 
2	 , 51210	 , 631	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 588	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 590	 , 713	 , 49.99999994179056, 
2	 , 51210	 , 566	 , 713	 , 49.99999973805753, 
2	 , 51210	 , 545	 , 713	 , 49.99999973805753, 
2	 , 51210	 , 564	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 555	 , 713	 , 149.99995976563693, 
2	 , 51210	 , 322	 , 713	 , 49.99999994179056, 
2	 , 51210	 , 340	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 441	 , 713	 , 49.99999973805753, 
2	 , 51210	 , 386	 , 713	 , 49.99999973805753, 
2	 , 51210	 , 440	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 553	 , 713	 , 49.99999994179056, 
2	 , 51210	 , 599	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 620	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 549	 , 713	 , 149.99999552951522, 
2	 , 51210	 , 402	 , 713	 , 49.99999994179056, 
2	 , 51210	 , 307	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 384	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 473	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 472	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 568	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 541	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 442	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 575	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 491	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 320	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 552	 , 713	 , 149.99995976563693, 
2	 , 51210	 , 335	 , 713	 , 49.99999994179056, 
2	 , 51210	 , 513	 , 713	 , 49.99999994179056, 
2	 , 51210	 , 377	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 354	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 215	 , 713	 , 49.99999973805753, 
2	 , 51210	 , 594	 , 713	 , 49.99999994179056, 
2	 , 51210	 , 620	 , 713	 , 149.99995976563693, 
2	 , 51210	 , 539	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 452	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 389	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 498	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 548	 , 713	 , 149.99995976563693, 
2	 , 51210	 , 627	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 393	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 473	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 659	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 578	 , 713	 , 149.99995976563693, 
2	 , 51210	 , 638	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 436	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 541	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 379	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 611	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 388	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 297	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 544	 , 713	 , 49.99999973805753, 
2	 , 51210	 , 187	 , 713	 , 49.99999994179056, 
2	 , 51210	 , 477	 , 713	 , 149.99999552951522, 
2	 , 51210	 , 252	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 392	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 479	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 613	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 495	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 536	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 578	 , 713	 , 49.99999994179056, 
2	 , 51210	 , 378	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 562	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 524	 , 713	 , 149.99999552951522, 
2	 , 51210	 , 639	 , 713	 , 49.99999973805753, 
2	 , 51210	 , 312	 , 713	 , 49.99999994179056, 
2	 , 51210	 , 354	 , 713	 , 49.99999994179056, 
2	 , 51210	 , 262	 , 713	 , 49.99999994179056, 
2	 , 51210	 , 435	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 479	 , 713	 , 149.99999105903044, 
2	 , 51210	 , 428	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 417	 , 713	 , 49.99999994179056, 
2	 , 51210	 , 479	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 387	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 551	 , 713	 , 49.99999973805753, 
2	 , 51210	 , 622	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 109	 , 713	 , 49.99999973805753, 
2	 , 51210	 , 438	 , 713	 , 49.99999997089528, 
2	 , 51210	 , 499	 , 713	 , 49.99999973805753, 
2	 , 51210	 , 488	 , 713	 , 49.99999994179056, 
2	 , 51210	 , 579	 , 713	 , 149.99995976563693, 
2	 , 51210	 , 425	 , 713	 , 49.99999973805753, 
4	 , 51300	 , 264	 , 358	 , 49.99999973805753, 
4	 , 51300	 , 325	 , 358	 , 49.99999973805753, 
4	 , 51300	 , 225	 , 358	 , 49.99999997089528, 
4	 , 51300	 , 285	 , 358	 , 49.99999973805753, 
4	 , 51300	 , 257	 , 358	 , 49.99999973805753, 
4	 , 51300	 , 255	 , 358	 , 49.99999973805753, 
4	 , 51300	 , 161	 , 358	 , 49.99999997089528, 
4	 , 51300	 , 203	 , 358	 , 49.99999973805753, 
4	 , 51300	 , 246	 , 358	 , 49.99999997089528, 
4	 , 51300	 , 269	 , 358	 , 49.99999997089528, 
4	 , 51300	 , 203	 , 358	 , 49.99999997089528, 
4	 , 51300	 , 284	 , 358	 , 49.99999973805753, 
4	 , 51300	 , 181	 , 358	 , 49.99999973805753, 
4	 , 51300	 , 206	 , 358	 , 49.99999997089528, 
4	 , 51300	 , 240	 , 358	 , 149.99999552951522, 
4	 , 51300	 , 274	 , 358	 , 49.99999997089528, 
