[
2	 , 2772	 , 50	 , -10.223340187317335, 
2	 , 2754	 , 50	 , -45.41696383421039, 
2	 , 2610	 , 50	 , -162.66283572225274, 
2	 , 2646	 , 50	 , -0.9256288280133431, 
2	 , 2646	 , 50	 , -0.31047717519780405, 
2	 , 2610	 , 50	 , -8.338772008833736, 
2	 , 2682	 , 50	 , -0.573484889452797, 
2	 , 2610	 , 50	 , -187.19616146500695, 
2	 , 2628	 , 50	 , -18.464793019423503, 
2	 , 2700	 , 50	 , -5.970940605648076, 
2	 , 2664	 , 50	 , -3.1676252190590555, 
2	 , 2610	 , 50	 , -0.18998779547641453, 
2	 , 2826	 , 50	 , -0.9883474912117294, 
2	 , 2610	 , 50	 , -4.343625879510977, 
2	 , 2628	 , 50	 , -2.5575306019032222, 
2	 , 2754	 , 50	 , -9.721124061072398, 
2	 , 2736	 , 50	 , -1.823750841377334, 
2	 , 2646	 , 50	 , -5.544999552820526, 
2	 , 2610	 , 50	 , -10.700964643404447, 
2	 , 2700	 , 50	 , -0.1755971839269836, 
2	 , 2682	 , 50	 , -0.18517136049722077, 
2	 , 2664	 , 50	 , -0.19767413500830286, 
2	 , 2700	 , 50	 , -2.195737303852142, 
2	 , 2718	 , 50	 , -0.996282864069768, 
2	 , 2628	 , 50	 , -9.212276915815947, 
2	 , 2610	 , 50	 , -2.1542990145768384, 
2	 , 2664	 , 50	 , -0.5684285269169698, 
2	 , 2610	 , 50	 , -1.899270935318609, 
2	 , 2610	 , 50	 , -54.602165024773186, 
2	 , 2646	 , 50	 , -7.503190936226397, 
2	 , 2610	 , 50	 , -9.70171562328126, 
2	 , 2628	 , 50	 , -14.621566144765215, 
2	 , 2754	 , 50	 , -0.1345685938153816, 
2	 , 2628	 , 50	 , -4.88603783272187, 
2	 , 2646	 , 50	 , -8.870617207576139, 
2	 , 2610	 , 50	 , -0.40046302622363805, 
2	 , 2610	 , 50	 , -2.404755312775916, 
2	 , 2610	 , 50	 , -0.5452955808561939, 
2	 , 2610	 , 50	 , -129.86351088400812, 
2	 , 2628	 , 50	 , -2.1302895095926515, 
4	 , 5400	 , 50	 , -0.13512121897928744, 
4	 , 5370	 , 50	 , -0.5960469679106315, 
4	 , 5256	 , 50	 , -0.34215684814645003, 
4	 , 5256	 , 50	 , -2.1008782345361716, 
4	 , 5292	 , 50	 , -8.916620370618205, 
4	 , 5346	 , 50	 , -0.02712707913047406, 
4	 , 5310	 , 50	 , -1.0862773243671286, 
4	 , 5382	 , 50	 , -0.5974860853913013, 
4	 , 5220	 , 50	 , -193.83817980775495, 
4	 , 5544	 , 50	 , -0.26525796151773, 
4	 , 5256	 , 50	 , -0.8672474996325157, 
4	 , 5256	 , 50	 , -2.213661198314959, 
4	 , 5778	 , 50	 , -0.4725671076760082, 
4	 , 5292	 , 50	 , -4.2689410291072045, 
4	 , 5562	 , 50	 , -0.021763646219036183, 
4	 , 5346	 , 50	 , -0.04127498536668883, 
4	 , 5220	 , 50	 , -143.96566680074324, 
4	 , 5220	 , 50	 , -8.74447742710991, 
4	 , 5364	 , 50	 , -0.01981212716068141, 
4	 , 5292	 , 50	 , -10.127865674300535, 
4	 , 5220	 , 50	 , -3.6884122150009113, 
4	 , 5454	 , 50	 , -0.030966999819603318, 
4	 , 5292	 , 50	 , -1.460683812705802, 
4	 , 5256	 , 50	 , -1.915186410297357, 
4	 , 5328	 , 50	 , -0.7311285411846403, 
4	 , 5400	 , 50	 , -1.4357516194989264, 
4	 , 5436	 , 50	 , -0.7750412528965755, 
4	 , 5400	 , 50	 , -0.008223843600648602, 
4	 , 5328	 , 50	 , -0.6075576547270046, 
4	 , 5676	 , 50	 , -4.211860497640653, 
4	 , 5424	 , 50	 , -0.19344920730000525, 
4	 , 5418	 , 50	 , -0.8085817337841795, 
4	 , 5364	 , 50	 , -0.9584205662637122, 
4	 , 5280	 , 50	 , -1.7706061762159033, 
4	 , 5508	 , 50	 , -0.20954291189997595, 
4	 , 5460	 , 50	 , -0.6174091100761342, 
4	 , 5328	 , 50	 , -4.062023678047556, 
4	 , 5508	 , 50	 , -4.51080806028658, 
4	 , 5310	 , 50	 , -0.2879957167234712, 
4	 , 5454	 , 50	 , -0.1794624735085914, 
6	 , 7872	 , 50	 , -2.1955687455465687, 
6	 , 7956	 , 50	 , -1.116139913054588, 
6	 , 8100	 , 50	 , -0.16309431271037583, 
6	 , 8382	 , 50	 , -0.36620232911256095, 
6	 , 8262	 , 50	 , -0.08384318545138417, 
6	 , 8046	 , 50	 , -1.0401273886574791, 
6	 , 7866	 , 50	 , -5.253409133983729, 
6	 , 8220	 , 50	 , -0.014308244063113824, 
6	 , 8130	 , 50	 , -0.7439799736441872, 
6	 , 7866	 , 50	 , -0.4870964945176213, 
6	 , 8208	 , 50	 , -5.958374865920483, 
6	 , 7974	 , 50	 , -0.3338656552179931, 
6	 , 8298	 , 50	 , -3.3953456860536755, 
6	 , 8262	 , 50	 , -0.3442451017624088, 
6	 , 7920	 , 50	 , -7.653465955646967, 
6	 , 8046	 , 50	 , -0.39805055922233723, 
6	 , 8142	 , 50	 , -0.15894857729155845, 
6	 , 7992	 , 50	 , -0.29784016368763905, 
6	 , 7956	 , 50	 , -4.554598144431177, 
6	 , 7872	 , 50	 , -1.8015622007532097, 
6	 , 8028	 , 50	 , -2.1046064664454587, 
6	 , 8046	 , 50	 , -5.991322924554131, 
6	 , 7956	 , 50	 , -5.078840030772635, 
6	 , 7866	 , 50	 , -2.9463656378245258, 
6	 , 7848	 , 50	 , -8.173199409916034, 
6	 , 7938	 , 50	 , -0.377159210652416, 
6	 , 7866	 , 50	 , -2.6176825936034427, 
6	 , 8100	 , 50	 , -1.243179987833508, 
6	 , 7866	 , 50	 , -1.8200394448130557, 
6	 , 8292	 , 50	 , -0.01907042018432239, 
6	 , 8046	 , 50	 , -1.2398996449969637, 
6	 , 8124	 , 50	 , -0.28019023998802184, 
6	 , 8082	 , 50	 , -0.7273130721160399, 
6	 , 8244	 , 50	 , -0.07562936342961474, 
6	 , 8310	 , 50	 , -0.01935092419744118, 
6	 , 8340	 , 50	 , -0.43213613311497173, 
6	 , 7884	 , 50	 , -0.4243389118270747, 
6	 , 8082	 , 50	 , -0.23518970458939847, 
6	 , 8292	 , 50	 , -0.8772516011271182, 
6	 , 8412	 , 50	 , -0.7642036155658072, 
10	 , 13620	 , 50	 , -0.1487186947139067, 
10	 , 13830	 , 50	 , -0.14432483217792585, 
10	 , 13560	 , 50	 , -0.7259028365897703, 
10	 , 13338	 , 50	 , -0.24725602455027199, 
10	 , 13644	 , 50	 , -2.6495080221903473, 
10	 , 13158	 , 50	 , -0.3483107325790522, 
10	 , 13776	 , 50	 , -1.796007780911362, 
10	 , 13218	 , 50	 , -0.2550086886236035, 
10	 , 13494	 , 50	 , -0.03722682048375356, 
10	 , 13380	 , 50	 , -2.143930071168196, 
10	 , 13254	 , 50	 , -0.27216254615920804, 
10	 , 13548	 , 50	 , -1.4948064738355868, 
10	 , 13674	 , 50	 , -0.5074800322566434, 
10	 , 13344	 , 50	 , -1.3429021654203805, 
10	 , 13212	 , 50	 , -1.0396898682483295, 
10	 , 13770	 , 50	 , -0.6711025783396412, 
10	 , 13878	 , 50	 , -0.044495513641337706, 
10	 , 13590	 , 50	 , -0.09977758343192712, 
10	 , 13242	 , 50	 , -1.1743563764417118, 
10	 , 13422	 , 50	 , -1.5582666828344547, 
10	 , 13674	 , 50	 , -0.2595448376062818, 
10	 , 13590	 , 50	 , -5.14854799627811, 
10	 , 13152	 , 50	 , -1.0401273886574791, 
10	 , 13314	 , 50	 , -0.5542929446271014, 
10	 , 13506	 , 50	 , -0.5718359772473032, 
10	 , 13788	 , 50	 , -1.94272568456079, 
10	 , 13656	 , 50	 , -2.1720197784128557, 
10	 , 13602	 , 50	 , -0.009303328104624004, 
10	 , 13236	 , 50	 , -4.8397395970839865, 
10	 , 13728	 , 50	 , -1.6041962239779717, 
10	 , 13266	 , 50	 , -0.37452660753861355, 
10	 , 13800	 , 50	 , -0.16297117243207643, 
10	 , 13776	 , 50	 , -3.1838570197236398, 
10	 , 13122	 , 50	 , -1.8141642372885605, 
10	 , 13608	 , 50	 , -0.3005647310871329, 
10	 , 13200	 , 50	 , -0.234722425200184, 
10	 , 13440	 , 50	 , -0.05994254704787967, 
